writer_name,book_name,count(*),
Bankim Chandra,০৩ কমলাকান্তের জোবানবন্দী,1,1885
Bankim Chandra,৮ পরিশিষ্ট,1,683
Humayun Ahmed,জাদুকর,1,1123
Kazi Nazrul,রাজবন্দীর জবানবন্দি,1,352
Samaresh Majumdar,কালবেলা – সমরেশ মজুমদার,1,
Sarat Chandra Chattopadhyay,একাদশী বৈরাগী,1,
Sarat Chandra Chattopadhyay,ছেলেধরা,1,
Sarat Chandra Chattopadhyay,পরেশ,1,
Sarat Chandra Chattopadhyay,বছর-পঞ্চাশ পূর্বের একটা কাহিনী,1,
Sarat Chandra Chattopadhyay,বাল্য-স্মৃতি,1,
Sarat Chandra Chattopadhyay,বিলাসী,1,
Sarat Chandra Chattopadhyay,মন্দির,1,
Sarat Chandra Chattopadhyay,মহেশ,1,
Sarat Chandra Chattopadhyay,মামলার ফল,1,
Sarat Chandra Chattopadhyay,লালু ১,1,
Sarat Chandra Chattopadhyay,লালু ২,1,
Sarat Chandra Chattopadhyay,লালু ৩,1,
Sarat Chandra Chattopadhyay,সতী,1,
Sarat Chandra Chattopadhyay,হরিচরণ,1,
Sunil Gangopadhyay,মহাকালের লিখন (গল্প),1,
Sunil Gangopadhyay,সাধুবাবার হাত,1,
Bankim Chandra,৭ম খণ্ড (প্রভাস),2,
Humayun Ahmed,আয়না,2,
Humayun Ahmed,পরেশের হইলদা বড়ি,2,
Humayun Ahmed,যন্ত্র,2,
Kazi Nazrul,আখ্যান,2,
Kazi Nazrul,হক সাহেবের হাসির গল্প,2,
Rabindranath Tagore,দুই বোন,2,
Sunil Gangopadhyay,একটি লাল লঙ্কা (১৯৮৮),2,
Humayun Ahmed,কুদ্দুসের একদিন,3,
Humayun Ahmed,নীল হাতী,3,
Humayun Ahmed,ভয় – মিসির আলি,3,
Humayun Ahmed,সম্পর্ক,3,
Sarat Chandra Chattopadhyay,স্বামী,3,
Zafar Iqbal,সুহানের স্বপ্ন,3,
Bankim Chandra,কপালকুণ্ডলা,4,
Bankim Chandra,মৃণালিনী,4,
Humayun Ahmed,অঁহক,4,
Humayun Ahmed,তাহারা,4,
Humayun Ahmed,বাসর (২০০২),4,
Humayun Ahmed,যখন গিয়েছে ডুবে পঞ্চমীর চাঁদ (১৯৯৪),4,
Humayun Ahmed,হিমুর বাবার কথামালা,4,
Kazi Nazrul,শিউলিমালা (ছোটো গল্প),4,
Rabindranath Tagore,চতুরঙ্গ,4,
Samaresh Majumdar,অর্জুন বেড়িয়ে এলো (১৯৯৩),4,
Samaresh Majumdar,চব্বিশ ঘণ্টার ঈশ্বর,4,
Sarat Chandra Chattopadhyay,অভাগীর স্বর্গ,4,
Sarat Chandra Chattopadhyay,চন্দ্রনাথ,4,
Sarat Chandra Chattopadhyay,নববিধান,4,
Sarat Chandra Chattopadhyay,হরিলক্ষ্মী,4,
Shirshendu Mukhopadhyay,ঈগলের চোখ (উপন্যাস) – শীর্ষেন্দু মুখোপাধ্যায়,4,
Shirshendu Mukhopadhyay,নবীগঞ্জের দৈত্য,4,
Shirshendu Mukhopadhyay,মোহন রায়ের বাঁশি,4,
Bankim Chandra,আনন্দমঠ,5,
Bankim Chandra,ইন্দিরা,5,
Bankim Chandra,বিষবৃক্ষ,5,
Bankim Chandra,রজনী,5,
Bankim Chandra,০২ কমলাকান্তের পত্র,5,
Humayun Ahmed,অদ্ভুত সব গল্প,5,
Humayun Ahmed,একাত্তর এবং আমার বাবা,5,
Humayun Ahmed,ফিহা সমীকরণ (১৯৯২),5,
Humayun Ahmed,শ্যামল ছায়া (২০০৩),5,
Rabindranath Tagore,চার অধ্যায়,5,
Rabindranath Tagore,তিনসঙ্গী,5,
Samaresh Majumdar,একমুখী রুদ্রাক্ষ (২০০০),5,
Samaresh Majumdar,কার্ভালোর বাক্স (১৯৯৩),5,
Sarat Chandra Chattopadhyay,রামের সুমতি,5,
Shirshendu Mukhopadhyay,নবাবগঞ্জের আগন্তুক,5,
Shirshendu Mukhopadhyay,পাতালঘর,5,
Shirshendu Mukhopadhyay,সাধুবাবার লাঠি,5,
Sunil Gangopadhyay,অচেনা মানুষ,5,
Sunil Gangopadhyay,কাকাবাবু ও একটি সাদা ঘোড়া (২০০৬),5,
Zafar Iqbal,জলজ,5,
Zafar Iqbal,বিজ্ঞানী অনিক লুম্বা,5,
Humayun Ahmed,গৌরীপুর জংশন (১৯৯৫),6,
Humayun Ahmed,ছোটদের যত লেখা,6,
Humayun Ahmed,তোমাদের জন্য ভালোবাসা,6,
Humayun Ahmed,দি একসরসিস্ট (১৯৯২),6,
Humayun Ahmed,নন্দিত নরকে (১৯৭০),6,
Humayun Ahmed,নিউটনের ভুল সূত্ৰ,6,
Humayun Ahmed,নীল অপরাজিতা (১৯৯১),6,
Humayun Ahmed,বাঘবন্দি মিসির আলি,6,
Humayun Ahmed,বিপদ – মিসির আলি,6,
Humayun Ahmed,মিসির আলির চশমা,6,
Humayun Ahmed,শূন্য (১৯৯৪),6,
Humayun Ahmed,হিমু মামা (২০০৪),6,
Samaresh Majumdar,ইয়েতির আত্মীয় (১৯৯৯),6,
Samaresh Majumdar,কইতে কথা বাধে,6,
Samaresh Majumdar,হিসেবে ভুল ছিল (১৯৯৭),6,
Sarat Chandra Chattopadhyay,অনুপমার প্রেম,6,
Sarat Chandra Chattopadhyay,আঁধারে আলো,6,
Shirshendu Mukhopadhyay,আলোয় ছায়ায়,6,
Shirshendu Mukhopadhyay,কুঞ্জপুকুরের কাণ্ড,6,
Shirshendu Mukhopadhyay,চক্রপুরের চক্করে,6,
Shirshendu Mukhopadhyay,পটাশগড়ের জঙ্গলে,6,
Shirshendu Mukhopadhyay,প্ৰজাপতির মৃত্যু ও পুনর্জন্ম,6,
Shirshendu Mukhopadhyay,বক্সার রতন,6,
Shirshendu Mukhopadhyay,বনি,6,
Shirshendu Mukhopadhyay,বিপিনবাবুর বিপদ,6,
Shirshendu Mukhopadhyay,মনোজদের অদ্ভুত বাড়ি,6,
Shirshendu Mukhopadhyay,সোনার মেডেল,6,
Shirshendu Mukhopadhyay,হরিপুরের হরেক কাণ্ড,6,
Shirshendu Mukhopadhyay,হেতমগড়ের গুপ্তধন,6,
Zafar Iqbal,একজন অতিমানবী,6,
Zafar Iqbal,বিজ্ঞানী সফদর আলীর মহা মহা আবিষ্কার,6,
Zafar Iqbal,মহাকাশে মহাত্রাস,6,
Bankim Chandra,চন্দ্রশেখর,7,
Bankim Chandra,৩য় খণ্ড (মথুরা-দ্বারকা),7,
Humayun Ahmed,অয়োময়,7,
Humayun Ahmed,ইমা (১৯৯৮),7,
Humayun Ahmed,এই শুভ্র এই (২০০৩),7,
Humayun Ahmed,ছেলেটা (২০০৫),7,
Humayun Ahmed,মীরার গ্রামের বাড়ি (১৯৯৮),7,
Humayun Ahmed,মৃন্ময়ী (২০০১),7,
Humayun Ahmed,ম্যাজিক মুনশি (২০১০),7,
Humayun Ahmed,রোদনভরা এ বসন্ত (২০০৩),7,
